age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
2.786758657999999969e+02,5.519999999999999574e+00,9.999999999999996669e-01,1.942890293094023946e-16,3.816391647148976224e-17,4.336808689942017736e-18,1.277764613015017203e-01,3.757718249563976087e+01
6.270206980499999645e+02,5.519999999999999574e+00,9.999999999999996669e-01,6.266041133434507859e-01,7.187025753697708075e-02,1.348089809508709429e-02,1.274621812498583917e-01,3.752021246234342300e+01
1.062451738400000067e+03,5.519999999999999574e+00,9.999999999999996669e-01,1.248554938956714766e+00,1.432875036807175484e-01,2.687805975220277505e-02,1.264492874130784261e-01,3.734892477745814432e+01
1.606740538799999968e+03,5.519999999999999574e+00,9.999999999999996669e-01,1.861340981675689177e+00,2.137987270379850535e-01,4.010775306348954294e-02,1.247377797911617403e-01,3.706465967519082483e+01
2.287101539199999934e+03,5.519999999999999574e+00,9.999999999999996669e-01,2.460283924890711127e+00,2.829509162155428026e-01,5.308598881061858676e-02,1.223276583841083343e-01,3.666838410836032125e+01
3.137552789800000028e+03,5.519999999999999574e+00,9.999999999999996669e-01,3.040771886112935363e+00,3.502910598201544601e-01,6.572937960089696163e-02,1.192189231919182635e-01,3.616396611474777245e+01
4.200616853100000299e+03,5.519999999999999574e+00,9.999999999999996669e-01,3.598009399986409562e+00,4.153661464585833851e-01,7.795402342068902257e-02,1.154115742145914864e-01,3.555287616933565431e+01
5.529446932200000447e+03,5.519999999999999574e+00,9.999999999999996669e-01,4.127303494982898613e+00,4.777231647375931312e-01,8.967636277152367386e-02,1.109056114521280029e-01,3.484008539264762305e+01
7.190484531000000061e+03,5.519999999999999574e+00,9.999999999999996669e-01,4.623760402274116998e+00,5.369091032639470296e-01,1.008132469591609959e-01,1.057010349045278408e-01,3.403000566264240945e+01
9.190484531000000061e+03,5.519999999999999574e+00,9.999999999999996669e-01,5.082362069356044287e+00,5.924709506444086893e-01,1.112816147591111637e-01,9.979784457179095847e-02,3.312800154023872778e+01
1.119048453100000006e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.497994722417267610e+00,6.439556954857414972e-01,1.209981770821536018e-01,9.319604045391741143e-02,3.214083897710027315e+01
